"Points:0","Points:1","Points:2"
-8.2996,-11.6337,0.25
-7.8947,-10.1485,0.25
-7.085,-9.1584,0.25
-6.6802,-7.67325,0.25
-6.2753,-6.1881,0.25
-5.4656,-5.198,0.25
-4.251,-4.70295,0.25
-3.4413,-4.70295,0.25
-2.2267,-4.2079,0.25
-1.0121,-4.70295,0.25
-0.2024,-4.70295,0.25
0.6073,-4.70295,0.25
1.8219,-5.198,0.25
2.6316,-6.1881,0.25
3.4413,-7.1782,0.25
4.251,-8.1683,0.25
4.6559,-9.65345,0.25
5.0607,-11.1386,0.25
5.0607,-13.1188,0.25
4.251,-14.1089,0.25
3.4413,-15.099,0.25
3.0364,-16.5842,0.25
2.2267,-17.5742,0.25
1.417,-18.5644,0.25
0.6073,-19.5545,0.25
0.2024,-21.0396,0.25
-0.6073,-22.0297,0.25
-2.2267,-22.0297,0.25
-3.8462,-22.0297,0.25
-4.6559,-21.0396,0.25
-5.4656,-20.0495,0.25
-5.8704,-18.5644,0.25
-6.6802,-17.5742,0.25
-7.085,-16.0891,0.25
-7.8947,-15.099,0.25
-7.8947,-13.1188,0.25
-7.8947,-12.1287,0.25
-8.2996,-11.6337,0.25
